id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
138,699,mie qheypoo,candi lontar kulon 44 c 01 lontar sambikerep,3235,mie qheypoo,manukan peni dalam manukan kulon tandes 60185,0.541666667,1
139,595,jae yen,kutai 68 darmo wonokromo 60241,3238,jae yen noodle pastry,kutai 68 rt 010 rw 06 darmo wonokromo 60241,0.527777778,1
140,1234,violetta,kapasari 5 26 kapasari genteng,3256,violetta drinks and cathering,kapasari 5 26 kapasari genteng 64395,0.525,1
141,1364,wingstop surabaya town square,town square hayam wuruk 6 sawunggaling wonokromo 60242,2916,wing stop,town square hayam wuruk 6 sawunggaling wonokromo 60242,0.5,1
142,546,hienak,medokan asri tengah 109 60295,3241,tempe hienak,medokan asri tengah 169 medokan ayu rungkut 60295,0.5,1
143,922,koffiku,greenwood perumahan citraland e 9 6 rt 001 rw 007 made sambikerep 60219,3225,koffiku surabaya,greenwood e 9 6 taman hijau made 2 citraland made sambikerep city 60219,0.485294118,1
144,1186,spika spiku dan jl cookies,kapasan 151 kapasan simokerto 60141,3251,spika butter spiku,kapasan simokerto city 60141,0.466666667,1
145,653,katering kksp rsud dr soetomo,mayjend prof dr moestopo 6 8 airlangga gubeng 60286,3236,katering kksp,pqj5 pf7 mayjen prof dr moestopo airlangga gubeng 60286,0.45,1
146,773,ladang lima,rungkut industri 3 30 a kutisari tenggilis mejoyo 60291,3230,pt ladang sehat indonesia,rungkut industri 3 30a kutisari tenggilis mejoyo 60291,0.45,1
147,1194,starcore,raya satelit utara bt 29 tanjungsari sukomanunggal 60187,3253,pt caltera biobiru nusantara,raya satelit utara bt 29 tanjungsari sukomanunggal city 60187,0.444444444,1
148,71,dimsum mbledos,kalijudan mulia 25 rt 005 rw 006 kalijudan mulyorejo 60114,3269,dimsum mbledos merr,dr ir h soekarno 53 kalijudan mulyorejo 60114,0.44047619,1
149,435,elmara,gayungan ib 7 gayungan gayungan 60235,3245,elmara catering ibu lusi,gayungan 1b 7 gayungan gayungan 60235,0.425,1
150,383,taste and taste catering,pakis argosari f 24 60224,3247,taste taste,pakis argosari 24 dukuh pakis dukuhpakis city 60224,0.416666667,1
151,724,aw juice,sutorejo 120 dukuh sutorejo mulyorejo dukuh sutorejo mulyorejo,3234,aw juice sosis bakar sosis goreng,raya sutorejo 122 dukuh sutorejo mulyorejo 60119,0.414285714,1
152,409,djoeragan,bukit palma rg 2 6 sememi benowo 60197,3246,djoeragan express,palma grandia sememi benowo 60198,0.4,1
153,726,azahra kuliner,semolowaru elok r 11 semolowaru sukolilo,3233,pecel pincuk azahra kuliner,semolowaru 55 semolowaru sukolilo 60119,0.392857143,1
154,541,hamada,kalijudan merr 18 60114,3242,hamada bakery,dr ir h soekarno 36 kalijudan mulyorejo 60114,0.35,1
155,625,jerindo,manyar kertoarjo 5 18 20 mojo gubeng 60285,1746,the goods diner surabaya,bali 19 gubeng gubeng 60281,0.045454545,0
156,542,hamis kitchen,taman menanggal indah 17 dukuh menanggal gayungan 60231,2193,titik kumpul surabaya warkop and cafe,dukuh kupang utara 1 1 putat jaya sawahan 60225,0.035714286,0
